JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    80    atr 2.0×ATR   0.7    8  0.15 | -5628255630404675584.0 -7694797459799526400.0   9027  60.4% 63.7%  6.8%    3/3    0/3   1.000 | 3/0 p=1.00
    80    atr 3.0×ATR   0.7    8  0.15 | -1546826196321688320.0 -2911633336061887488.0   3875  77.1% 73.0%  5.0%    2/3    1/3   0.975 | 2/1 p=0.97
    80    atr 4.0×ATR   0.7    8  0.15 | -202193067722247840.0 -1176425757877630208.0   2686  86.5% 78.3%  3.8%    2/3    2/3   0.610 | 2/2 p=0.61
    80    atr 5.0×ATR   0.7    8  0.15 | 250285460871564224.0 -285716328096927328.0   2984  92.1% 80.1%  3.4%    1/3    2/3   0.240 | 1/2 p=0.24
    80    atr 2.0×ATR   0.7    8  0.25 | -5034681403689108480.0 -7134894967152096256.0   8396  69.8% 63.7%  7.0%    2/3    0/3   1.000 | 2/0 p=1.00
    80    atr 3.0×ATR   0.7    8  0.25 | -712770338813206144.0 -1534038167155590144.0   3589  81.7% 72.3%  5.4%    2/3    1/3   0.910 | 2/1 p=0.91
    80    atr 4.0×ATR   0.7    8  0.25 | -1376331182393580544.0 -2645113211154408448.0   3691  89.0% 76.8%  4.4%    2/3    1/3   0.955 | 2/1 p=0.95
    80    atr 5.0×ATR   0.7    8  0.25 | 255451790124496768.0 -280862092525953280.0   2812  93.1% 80.0%  3.7%    1/3    2/3   0.265 | 1/2 p=0.27
    80    atr 2.0×ATR   0.7   10  0.00 | -5775448397067137024.0 -7788757956445424640.0   8821  36.8% 60.2%  7.7%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.7   10  0.00 | -1173638860127755264.0 -2336312220703268352.0   3589  68.9% 68.9%  5.3%    2/3    0/3   0.950 | 2/0 p=0.95
    80    atr 4.0×ATR   0.7   10  0.00 | -398926549243308864.0 -1634564662892496384.0   2418  83.5% 73.4%  4.8%    0/3    2/3   0.705 | 0/2 p=0.70
    80    atr 5.0×ATR   0.7   10  0.00 | 270226581367060544.0 49611398105604912.0   1876  90.7% 78.7%  3.9%    1/3    3/3   0.015 | 1/3 p=0.01
    80    atr 2.0×ATR   0.7   10  0.15 | -7975191782040691712.0 -10528061991662577664.0   8123  58.9% 60.0%  7.8%    2/3    0/3   1.000 | 2/0 p=1.00
    80    atr 3.0×ATR   0.7   10  0.15 | -988627968814107392.0 -1976997776951674112.0   3244  76.7% 68.3%  5.6%    2/3    1/3   0.940 | 2/1 p=0.94
    80    atr 4.0×ATR   0.7   10  0.15 | -79648704416315200.0 -1064418080910153984.0   2303  86.8% 73.5%  4.5%    0/3    2/3   0.610 | 0/2 p=0.61
    80    atr 5.0×ATR   0.7   10  0.15 | -24643682284162816.0 -481087152497138816.0   1772  92.0% 78.4%  3.9%    1/3    2/3   0.545 | 1/2 p=0.55
    80    atr 2.0×ATR   0.7   10  0.25 | -6217061977494267904.0 -8619389173715768320.0   7544  68.9% 60.0%  7.8%    2/3    0/3   1.000 | 2/0 p=1.00
    80    atr 3.0×ATR   0.7   10  0.25 | -918629270159727744.0 -1871041651039906304.0   3040  81.0% 67.1%  5.9%    2/3    1/3   0.935 | 2/1 p=0.94
    80    atr 4.0×ATR   0.7   10  0.25 | 60597268210383784.0 -723802195207472768.0   2186  88.9% 74.2%  4.5%    1/3    2/3   0.430 | 1/2 p=0.43
    80    atr 5.0×ATR   0.7   10  0.25 | -63038891332265200.0 -562764720643396928.0   1690  93.1% 78.1%  4.2%    1/3    2/3   0.530 | 1/2 p=0.53
    80    atr 2.0×ATR   1.0    6  0.00 | -3499298443218371072.0 -6055657318610006016.0   8522  38.7% 70.6%  7.7%    1/3    1/3   0.990 | 1/1 p=0.99
    80    atr 3.0×ATR   1.0    6  0.00 | -611963958035584512.0 -1631182345071694080.0   4077  68.5% 79.8%  4.4%    0/3    1/3   0.845 | 0/1 p=0.84
    80    atr 4.0×ATR   1.0    6  0.00 | 102744517036044912.0 -760946737392894848.0   4154  82.8% 82.5%  4.0%    1/3    2/3   0.510 | 1/2 p=0.51
    80    atr 5.0×ATR   1.0    6  0.00 | 19096579903357968.0 3336045918871887.0   3188  89.9% 86.2%  2.5%    1/3    2/3   0.010 | 1/2 p=0.01
    80    atr 2.0×ATR   1.0    6  0.15 | -5350815386123816960.0 -8184762130714485760.0   7412  60.8% 69.6%  8.0%    0/3    1/3   1.000 | 0/1 p=1.00
    80    atr 3.0×ATR   1.0    6  0.15 | -954100087039024512.0 -2045045616090614784.0   3841  76.7% 79.3%  4.6%    1/3    2/3   0.945 | 1/2 p=0.94
    80    atr 4.0×ATR   1.0    6  0.15 | -762597685527021312.0 -1462280712722732032.0   3947  86.6% 83.1%  3.8%    0/3    0/3   0.970 | 0/0 p=0.97
    80    atr 5.0×ATR   1.0    6  0.15 | 65831498467312616.0 4773555767232623.0   3056  91.8% 86.0%  2.8%    1/3    2/3   0.000 | 1/2 p=0.00
    80    atr 2.0×ATR   1.0    6  0.25 | -4664831775951442944.0 -7053114438065984512.0   6848  70.7% 69.2%  7.6%    0/3    1/3   1.000 | 0/1 p=1.00
    80    atr 3.0×ATR   1.0    6  0.25 | -627222050572978688.0 -1684088957142703616.0   3509  81.3% 78.5%  5.1%    1/3    2/3   0.835 | 1/2 p=0.83
    80    atr 4.0×ATR   1.0    6  0.25 | 316098881687577408.0 -782070801874288000.0   3708  88.8% 82.2%  4.0%    0/3    2/3   0.350 | 0/2 p=0.35
    80    atr 5.0×ATR   1.0    6  0.25 | 68473636879763248.0 1966499821413304.2   2788  92.9% 85.4%  3.1%    1/3    2/3   0.000 | 1/2 p=0.00
    80    atr 2.0×ATR   1.0    8  0.00 | -4521297071582981120.0 -6720153092532654080.0   6762  37.2% 64.1%  8.9%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   1.0    8  0.00 | 44612431096235016.0 -817618008553937536.0   3246  68.7% 74.9%  5.6%    0/3    1/3   0.445 | 0/1 p=0.45
    80    atr 4.0×ATR   1.0    8  0.00 | -179262844763722624.0 -725390882591870464.0   2193  82.6% 78.9%  4.5%    1/3    2/3   0.625 | 1/2 p=0.62
    80    atr 5.0×ATR   1.0    8  0.00 | 21224977051940468.0 4804079723491561.0   2518  90.7% 81.9%  3.5%    1/3    2/3   0.005 | 1/2 p=0.01
    80    atr 2.0×ATR   1.0    8  0.15 | -4534558334041144832.0 -6720234538501282816.0   6261  60.5% 63.3%  9.5%    0/3    1/3   1.000 | 0/1 p=1.00
    80    atr 3.0×ATR   1.0    8  0.15 | -157403200158312416.0 -732849650956123136.0   3043  77.1% 74.3%  5.7%    2/3    2/3   0.685 | 2/2 p=0.69
    80    atr 4.0×ATR   1.0    8  0.15 | -783868514377719040.0 -1569921332511472640.0   2129  86.5% 79.1%  4.7%    1/3    2/3   0.940 | 1/2 p=0.94
    80    atr 5.0×ATR   1.0    8  0.15 | 20397722736183628.0 4108967143582365.5   2462  92.2% 81.8%  3.3%    0/3    2/3   0.000 | 0/2 p=0.00
    80    atr 2.0×ATR   1.0    8  0.25 | -4253022388550571008.0 -6235914347847925760.0   5863  69.9% 63.3%  9.2%    1/3    1/3   1.000 | 1/1 p=1.00
    80    atr 3.0×ATR   1.0    8  0.25 | -1428550049150982144.0 -2604182747561080832.0   2911  81.2% 73.9%  6.3%    2/3    1/3   0.985 | 2/1 p=0.98
    80    atr 4.0×ATR   1.0    8  0.25 | 157863189551427872.0 -596505382508850944.0   3059  88.8% 78.2%  4.7%    0/3    2/3   0.370 | 0/2 p=0.37
    80    atr 5.0×ATR   1.0    8  0.25 | 17235842863023778.0 2725255365889163.0   2347  93.2% 81.4%  4.0%    1/3    3/3   0.000 | 1/3 p=0.00
    80    atr 2.0×ATR   1.0   10  0.00 | -5262572561167206400.0 -7503234970821337088.0   5865  36.5% 58.7% 10.4%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   1.0   10  0.00 | -292597984654060096.0 -1121771920973718784.0   2839  67.5% 70.5%  6.5%    0/3    1/3   0.755 | 0/1 p=0.76
    80    atr 4.0×ATR   1.0   10  0.00 | -197971710821944224.0 -778772785548406656.0   1906  83.5% 75.7%  5.0%    2/3    2/3   0.625 | 2/2 p=0.62
    80    atr 5.0×ATR   1.0   10  0.00 | 8191710648382771.0 2365727310360137.0   1447  90.9% 78.8%  4.1%    1/3    3/3   0.005 | 1/3 p=0.01
    80    atr 2.0×ATR   1.0   10  0.15 | -2585911079976092672.0 -5180974738926659584.0   5530  58.6% 58.0% 10.6%    0/3    1/3   0.970 | 0/1 p=0.97
    80    atr 3.0×ATR   1.0   10  0.15 | 125472983280404160.0 -444947408292073984.0   2689  76.5% 70.7%  6.3%    2/3    3/3   0.380 | 2/3 p=0.38
    80    atr 4.0×ATR   1.0   10  0.15 | -422186425979626048.0 -1096502965879987584.0   1813  86.6% 74.8%  5.5%    2/3    2/3   0.855 | 2/2 p=0.85
    80    atr 5.0×ATR   1.0   10  0.15 | 6696250027800552.0 1755513968509695.8   1464  92.0% 79.4%  3.4%    2/3    3/3   0.015 | 2/3 p=0.01
    80    atr 2.0×ATR   1.0   10  0.25 | -3650457270193189376.0 -5474180955196617728.0   5166  68.8% 58.1% 10.8%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   1.0   10  0.25 | -604696706309283968.0 -1629026171306191872.0   2525  80.8% 69.2%  7.1%    2/3    1/3   0.865 | 2/1 p=0.86
    80    atr 4.0×ATR   1.0   10  0.25 | 398361686456916672.0 -673955802995212672.0   2602  88.5% 74.6%  5.3%    0/3    2/3   0.305 | 0/2 p=0.30
    80    atr 5.0×ATR   1.0   10  0.25 | 3723676948950614.0 353290741542762.6   1459  93.0% 79.5%  4.2%    1/3    3/3   0.005 | 1/3 p=0.01

============================================================================
PAIR: GBP_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
------------------------------------------------------------------------------------
    20  fixed   30.0p   0.5    6  0.00 | 515238547817597824.0 -1067317558740062464.0   1618  98.2% 82.3%  1.7%    2/3    3/3   0.285 | 2/3 p=0.28
    20  fixed   50.0p   0.5    6  0.00 |     49.7     25.3    379  99.7% 90.8%  1.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    6  0.15 | 330714578270901696.0 -1401289243346118144.0   1339  98.6% 81.3%  1.8%    2/3    3/3   0.300 | 2/3 p=0.30
    20  fixed   50.0p   0.5    6  0.15 |     31.3     12.5    303  99.7% 91.7%  1.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    6  0.25 | -327507769670634880.0 -2268010090231462400.0   1174  98.8% 81.3%  2.1%    2/3    2/3   0.595 | 2/2 p=0.59
    20  fixed   50.0p   0.5    6  0.25 |     28.2      9.6    254  99.8% 92.9%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    8  0.00 | -554828852755678592.0 -2356416482312474624.0   1418  98.3% 76.9%  2.4%    2/3    1/3   0.735 | 2/1 p=0.73
    20  fixed   50.0p   0.5    8  0.00 |     61.6     34.1    350  99.7% 87.1%  1.7%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    8  0.15 | -601572484716054784.0 -2213026419807444736.0   1206  98.6% 76.0%  2.4%    2/3    1/3   0.685 | 2/1 p=0.69
    20  fixed   50.0p   0.5    8  0.15 |     34.8     16.2    287  99.7% 88.5%  1.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    8  0.25 | -693247218667982336.0 -2981864382325355008.0   1081  98.8% 76.0%  2.7%    2/3    1/3   0.690 | 2/1 p=0.69
    20  fixed   50.0p   0.5    8  0.25 |     30.0     10.8    239  99.8% 89.5%  1.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5   10  0.00 | 185408688952179264.0 -705768832035160960.0   1286  98.3% 72.3%  2.6%    2/3    2/3   0.445 | 2/2 p=0.45
    20  fixed   50.0p   0.5   10  0.00 |     73.3     40.9    326  99.7% 83.1%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5   10  0.15 | -591607862651125248.0 -2341461504974254592.0   1114  98.6% 71.9%  2.8%    2/3    1/3   0.695 | 2/1 p=0.69
    20  fixed   50.0p   0.5   10  0.15 |     47.0     23.3    278  99.7% 85.3%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5   10  0.25 | -698743234589397248.0 -2676786223648949760.0   1000  98.8% 72.1%  3.3%    2/3    1/3   0.710 | 2/1 p=0.71
    20  fixed   50.0p   0.5   10  0.25 |     40.6     16.7    235  99.8% 86.8%  1.7%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    6  0.00 |  -3182.3 -10780.9   1508  98.2% 83.0%  1.8%    2/3    2/3   0.490 | 2/2 p=0.49
    20  fixed   50.0p   0.7    6  0.00 |    132.3     44.9    369  99.7% 90.8%  2.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    6  0.15 |  -3356.2 -10875.3   1260  98.6% 81.7%  2.2%    2/3    2/3   0.505 | 2/2 p=0.51
    20  fixed   50.0p   0.7    6  0.15 |     70.0     26.0    292  99.7% 91.4%  2.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    6  0.25 |    563.5    296.4   1117  98.8% 81.9%  2.3%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   50.0p   0.7    6  0.25 |     44.7     12.0    251  99.8% 92.8%  1.6%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    8  0.00 |  -3270.8 -10951.7   1311  98.3% 78.3%  2.6%    2/3    2/3   0.455 | 2/2 p=0.46
    20  fixed   50.0p   0.7    8  0.00 |    135.5     47.9    343  99.7% 87.8%  2.6%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    8  0.15 |  -3399.7 -10973.8   1120  98.6% 76.7%  2.9%    2/3    2/3   0.520 | 2/2 p=0.52
    20  fixed   50.0p   0.7    8  0.15 |     70.5     26.8    281  99.7% 88.6%  2.5%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    8  0.25 |    503.4    251.5   1024  98.8% 77.4%  2.8%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   50.0p   0.7    8  0.25 |     46.6     13.1    235  99.8% 89.8%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7   10  0.00 |  -3249.0 -10923.7   1190  98.4% 73.5%  2.8%    2/3    2/3   0.450 | 2/2 p=0.45
    20  fixed   50.0p   0.7   10  0.00 |    155.6     66.4    317  99.7% 84.2%  3.5%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7   10  0.15 |  -3384.2 -11011.8   1030  98.7% 72.9%  3.3%    2/3    2/3   0.470 | 2/2 p=0.47
    20  fixed   50.0p   0.7   10  0.15 |     90.9     38.8    270  99.7% 85.9%  3.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7   10  0.25 |    531.2    294.2    944  98.8% 73.6%  3.5%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   50.0p   0.7   10  0.25 |     65.7     27.6    232  99.8% 87.5%  3.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    6  0.00 |    134.5   -881.7   1357  98.2% 83.3%  3.8%    0/3    2/3   0.410 | 0/2 p=0.41
    20  fixed   50.0p   1.0    6  0.00 |    -23.8   -188.1    345  99.7% 90.4%  3.5%    3/3    2/3   0.510 | 3/2 p=0.51
    20  fixed   30.0p   1.0    6  0.15 |    103.8   -898.7   1134  98.6% 82.5%  4.7%    0/3    2/3   0.380 | 0/2 p=0.38
    20  fixed   50.0p   1.0    6  0.15 |     48.7     25.5    283  99.7% 91.2%  2.8%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    6  0.25 |   -248.2  -1301.8   1011  98.8% 81.8%  4.6%    1/3    2/3   0.670 | 1/2 p=0.67
    20  fixed   50.0p   1.0    6  0.25 |     29.3     14.4    252  99.8% 93.3%  2.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    8  0.00 |   -392.7  -1625.4   1110  98.4% 77.6%  5.5%    0/3    1/3   0.685 | 0/1 p=0.69
    20  fixed   50.0p   1.0    8  0.00 |    -26.3   -172.0    316  99.7% 87.7%  3.8%    3/3    2/3   0.445 | 3/2 p=0.45
    20  fixed   30.0p   1.0    8  0.15 |     87.6   -967.0    973  98.6% 76.7%  6.1%    0/3    2/3   0.400 | 0/2 p=0.40
    20  fixed   50.0p   1.0    8  0.15 |     51.2     27.6    270  99.7% 88.5%  3.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    8  0.25 |   -257.6  -1426.0    907  98.8% 77.0%  5.8%    1/3    2/3   0.640 | 1/2 p=0.64
    20  fixed   50.0p   1.0    8  0.25 |     50.3     21.2    233  99.8% 90.1%  3.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.00 |   -386.5  -1558.1   1010  98.4% 73.4%  5.8%    0/3    1/3   0.660 | 0/1 p=0.66
    20  fixed   50.0p   1.0   10  0.00 |    -18.6   -172.3    298  99.7% 84.6%  4.7%    3/3    2/3   0.535 | 3/2 p=0.54
    20  fixed   30.0p   1.0   10  0.15 |    148.5   -834.6    893  98.7% 72.6%  6.5%    1/3    2/3   0.415 | 1/2 p=0.41
    20  fixed   50.0p   1.0   10  0.15 |     59.2     34.2    260  99.7% 85.8%  4.2%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.25 |   -853.6  -2432.7    840  98.8% 73.3%  6.3%    1/3    2/3   0.880 | 1/2 p=0.88
    20  fixed   50.0p   1.0   10  0.25 |     57.4     27.8    227  99.8% 87.2%  4.4%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 2.0×ATR   0.5    6  0.00 | -3559398344291297280.0 -6337876345385236480.0  11798  55.4% 65.3%  4.7%    1/3    0/3   0.990 | 1/0 p=0.99
    20    atr 3.0×ATR   0.5    6  0.00 | -2654808190867899904.0 -4804678480838959104.0   5958  83.0% 69.9%  4.6%    2/3    0/3   0.990 | 2/0 p=0.99
    20    atr 4.0×ATR   0.5    6  0.00 | -498707399603847040.0 -1765905823944363264.0   3259  94.2% 71.3%  5.0%    2/3    1/3   0.795 | 2/1 p=0.80
    20    atr 5.0×ATR   0.5    6  0.00 | -250394153114521440.0 -1386859071372796416.0   1744  97.9% 71.4%  6.5%    3/3    1/3   0.670 | 3/1 p=0.67
    20    atr 2.0×ATR   0.5    6  0.15 | -4870731566985618432.0 -7703684672361150464.0  10588  69.3% 65.6%  4.8%    1/3    0/3   0.995 | 1/0 p=0.99
    20    atr 3.0×ATR   0.5    6  0.15 | -1337438470474609152.0 -3449541545589558784.0   5409  86.9% 69.6%  4.5%    2/3    0/3   0.870 | 2/0 p=0.87
    20    atr 4.0×ATR   0.5    6  0.15 | -1016685347628929280.0 -2342189753026675200.0   2877  95.3% 70.6%  5.0%    2/3    1/3   0.920 | 2/1 p=0.92
    20    atr 5.0×ATR   0.5    6  0.15 | -139914787668378016.0 -1122656476811415424.0   1489  98.3% 72.5%  6.2%    3/3    1/3   0.555 | 3/1 p=0.56
    20    atr 2.0×ATR   0.5    6  0.25 | -2134627116708461568.0 -6662448359103467520.0   9587  76.0% 65.2%  5.0%    1/3    0/3   0.715 | 1/0 p=0.71
    20    atr 3.0×ATR   0.5    6  0.25 | -1369329723228405504.0 -3482053331059488256.0   4959  89.6% 70.0%  4.9%    2/3    0/3   0.845 | 2/0 p=0.84
    20    atr 4.0×ATR   0.5    6  0.25 | -1112177872979483392.0 -2681046841848175104.0   2610  96.2% 70.6%  5.4%    2/3    1/3   0.885 | 2/1 p=0.89
    20    atr 5.0×ATR   0.5    6  0.25 | -150430605251523616.0 -1166502867650263040.0   1294  98.6% 72.8%  6.6%    3/3    1/3   0.615 | 3/1 p=0.61
    20    atr 2.0×ATR   0.5    8  0.00 | -3109657970613493248.0 -5423455448104745984.0  11018  55.3% 63.9%  5.1%    1/3    0/3   0.980 | 1/0 p=0.98
    20    atr 3.0×ATR   0.5    8  0.00 | -3254997991560536064.0 -5283733207305988096.0   5412  82.7% 66.6%  4.9%    2/3    0/3   1.000 | 2/0 p=1.00
    20    atr 4.0×ATR   0.5    8  0.00 | -37047280674363328.0 -1082495323366004736.0   2929  94.1% 67.5%  5.3%    2/3    2/3   0.495 | 2/2 p=0.49
    20    atr 5.0×ATR   0.5    8  0.00 | 64909843609971704.0 -930714824600248448.0   1616  97.9% 67.0%  6.8%    3/3    1/3   0.475 | 3/1 p=0.47
    20    atr 2.0×ATR   0.5    8  0.15 | -6029019658154194944.0 -8281290627453982720.0  10041  68.8% 63.7%  5.1%    1/3    0/3   1.000 | 1/0 p=1.00
    20    atr 3.0×ATR   0.5    8  0.15 | -892071521734014848.0 -2773630542178405376.0   4934  86.7% 66.1%  4.8%    2/3    0/3   0.750 | 2/0 p=0.75
    20    atr 4.0×ATR   0.5    8  0.15 | -1050119012965019136.0 -2481172965645570560.0   2658  95.3% 67.0%  5.4%    2/3    1/3   0.945 | 2/1 p=0.94
    20    atr 5.0×ATR   0.5    8  0.15 | -324836737775798208.0 -1450510063356120832.0   1397  98.3% 68.0%  6.4%    3/3    1/3   0.700 | 3/1 p=0.70
    20    atr 2.0×ATR   0.5    8  0.25 | -2482542075166940672.0 -6893652638659489792.0   9161  75.6% 63.4%  5.3%    1/3    0/3   0.675 | 1/0 p=0.68
    20    atr 3.0×ATR   0.5    8  0.25 | -880067947592957696.0 -2817603721247910400.0   4568  89.2% 66.6%  5.4%    2/3    0/3   0.815 | 2/0 p=0.81
    20    atr 4.0×ATR   0.5    8  0.25 | -1167434893073640960.0 -2818909611191136768.0   2421  96.1% 67.0%  5.9%    2/3    1/3   0.895 | 2/1 p=0.90
    20    atr 5.0×ATR   0.5    8  0.25 | -336306368310329088.0 -1531671423745415936.0   1226  98.6% 68.3%  6.8%    3/3    1/3   0.695 | 3/1 p=0.69
    20    atr 2.0×ATR   0.5   10  0.00 | -4436260822210505216.0 -6637159698147891200.0  10746  56.0% 63.1%  5.0%    1/3    0/3   1.000 | 1/0 p=1.00
    20    atr 3.0×ATR   0.5   10  0.00 | -1968262857829101056.0 -4019729613056201728.0   5097  82.6% 64.7%  5.1%    2/3    0/3   0.955 | 2/0 p=0.95
    20    atr 4.0×ATR   0.5   10  0.00 | -730163277502571.1 -1032970839305147520.0   2691  94.0% 65.0%  5.5%    2/3    2/3   0.495 | 2/2 p=0.49
    20    atr 5.0×ATR   0.5   10  0.00 | 243063686458678592.0 -699561032142999936.0   1536  97.9% 64.1%  7.2%    3/3    2/3   0.355 | 3/2 p=0.35
    20    atr 2.0×ATR   0.5   10  0.15 | -5912657104033429504.0 -8255677817846732800.0   9829  68.8% 63.1%  5.2%    1/3    0/3   1.000 | 1/0 p=1.00
    20    atr 3.0×ATR   0.5   10  0.15 | -1097974298714925184.0 -3061324250198685696.0   4697  86.3% 64.3%  4.9%    2/3    0/3   0.815 | 2/0 p=0.81
    20    atr 4.0×ATR   0.5   10  0.15 | -679410506055793152.0 -1868231045013568000.0   2456  95.1% 64.4%  5.7%    2/3    1/3   0.785 | 2/1 p=0.79
    20    atr 5.0×ATR   0.5   10  0.15 | 62196935448732720.0 -998583503808295168.0   1344  98.3% 65.5%  6.5%    3/3    1/3   0.490 | 3/1 p=0.49
    20    atr 2.0×ATR   0.5   10  0.25 | -3352934584012625408.0 -7519424936541339648.0   9013  75.6% 62.9%  5.4%    1/3    0/3   0.885 | 1/0 p=0.89
    20    atr 3.0×ATR   0.5   10  0.25 | -1388969553844857344.0 -3746229601695951872.0   4382  89.1% 64.8%  5.5%    2/3    0/3   0.880 | 2/0 p=0.88
    20    atr 4.0×ATR   0.5   10  0.25 | -697383308065634560.0 -2049653074910548224.0   2268  96.0% 64.7%  6.0%    2/3    1/3   0.760 | 2/1 p=0.76
    20    atr 5.0×ATR   0.5   10  0.25 | -126264144508320272.0 -1213088297418354688.0   1187  98.5% 65.8%  6.7%    3/3    1/3   0.550 | 3/1 p=0.55
    20    atr 2.0×ATR   0.7    6  0.00 | -2652006034263192576.0 -5710340435423857664.0   9148  52.7% 63.0%  6.5%    2/3    1/3   0.945 | 2/1 p=0.94
    20    atr 3.0×ATR   0.7    6  0.00 | -985896164604380160.0 -2331829644338634240.0   4867  82.9% 69.4%  5.5%    2/3    1/3   0.915 | 2/1 p=0.92
    20    atr 4.0×ATR   0.7    6  0.00 | -955912623810794368.0 -2258155245974322944.0   2842  94.2% 71.9%  5.6%    2/3    2/3   0.845 | 2/2 p=0.84
    20    atr 5.0×ATR   0.7    6  0.00 | -8131154441836433.0 -711062835567222144.0   1608  97.9% 73.0%  6.0%    3/3    2/3   0.475 | 3/2 p=0.47
    20    atr 2.0×ATR   0.7    6  0.15 | -2559275752021652992.0 -5280075766323359744.0   8312  68.4% 63.2%  6.4%    1/3    0/3   0.960 | 1/0 p=0.96
    20    atr 3.0×ATR   0.7    6  0.15 | -763859006639345664.0 -2148542896569164288.0   4462  86.8% 69.3%  5.8%    3/3    1/3   0.750 | 3/1 p=0.75
    20    atr 4.0×ATR   0.7    6  0.15 | -953159135249851520.0 -2285874081270662400.0   2551  95.4% 71.6%  5.5%    2/3    2/3   0.860 | 2/2 p=0.86
    20    atr 5.0×ATR   0.7    6  0.15 | 158832371658416288.0 -350745997484739968.0   1420  98.3% 74.2%  5.5%    3/3    2/3   0.330 | 3/2 p=0.33
    20    atr 2.0×ATR   0.7    6  0.25 | -1524369544205797632.0 -3994021305052426752.0   7619  75.4% 62.6%  6.7%    1/3    1/3   0.840 | 1/1 p=0.84
    20    atr 3.0×ATR   0.7    6  0.25 | -1083908554707548800.0 -2496194172781752320.0   4130  89.4% 69.5%  5.8%    2/3    1/3   0.890 | 2/1 p=0.89
    20    atr 4.0×ATR   0.7    6  0.25 | -674244259018087552.0 -2086608253389086208.0   2352  96.2% 71.6%  5.5%    2/3    2/3   0.805 | 2/2 p=0.81
    20    atr 5.0×ATR   0.7    6  0.25 | 211306216830157344.0 -380690996322287232.0   1241  98.6% 74.3%  5.9%    2/3    3/3   0.240 | 2/3 p=0.24
    20    atr 2.0×ATR   0.7    8  0.00 | -2227409399831704064.0 -4869099912119340032.0   8141  51.4% 59.1%  6.9%    2/3    1/3   0.850 | 2/1 p=0.85
    20    atr 3.0×ATR   0.7    8  0.00 | -984552990916281984.0 -2233467666247755264.0   4281  82.3% 65.1%  6.3%    2/3    1/3   0.900 | 2/1 p=0.90
    20    atr 4.0×ATR   0.7    8  0.00 | 315407300226508864.0 -1092471950457992576.0   2535  94.2% 67.5%  6.0%    3/3    2/3   0.330 | 3/2 p=0.33
    20    atr 5.0×ATR   0.7    8  0.00 | -116280706577121920.0 -787303609090263296.0   1472  97.9% 67.9%  6.6%    2/3    2/3   0.625 | 2/2 p=0.62
    20    atr 2.0×ATR   0.7    8  0.15 | -4150327094676800512.0 -6023194982268924928.0   7542  67.0% 59.5%  6.9%    1/3    0/3   1.000 | 1/0 p=1.00
    20    atr 3.0×ATR   0.7    8  0.15 | -849292706479270016.0 -2279066892712407808.0   3896  86.2% 64.1%  6.3%    3/3    2/3   0.820 | 3/2 p=0.82
