JIT compiled.

======================================================================
PAIR: EUR_USD  ZW=30.0p TGT=21.0p ta=10.0 td=1.0  OOS=409d
body_thr wick_thr  mom |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
     0.7     0.30    0 |   1590.1    721.2   1699  61.9% 74.0%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.30    2 |  -1969.5  -7006.5   1743  76.4% 76.6%  2.4%    3/3    2/3   0.480 | 3/2 p=0.48
     0.7     0.30    3 |    682.9    389.6   1671  71.7% 74.4%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.30    5 |   1248.3    530.2   1653  65.1% 73.8%  2.9%    3/3    3/3   0.000 | 🟢 PASS

======================================================================
PAIR: EUR_JPY  ZW=50.0p TGT=25.0p ta=6.0 td=1.0  OOS=410d
body_thr wick_thr  mom |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
--------------------------------------------------------------------------------
     0.0     0.00    0 |   3732.5   1618.8   5651   0.0% 89.8%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.00    2 | -10790.3 -37163.9   5511  43.1% 90.1%  0.8%    3/3    2/3   0.495 | 3/2 p=0.49
     0.0     0.00    3 |  -9835.0 -36277.2   5719  23.0% 90.0%  0.7%    3/3    2/3   0.505 | 3/2 p=0.51
     0.0     0.00    5 |   3762.4   1468.8   5521   5.5% 89.6%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.10    0 |   3782.3   1706.1   5661  24.3% 90.1%  1.0%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.10    2 |   3218.6    898.6   3849  56.0% 89.8%  0.7%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.10    3 |  -9894.5 -35606.6   5437  42.9% 90.1%  0.8%    3/3    2/3   0.500 | 3/2 p=0.50
     0.0     0.10    5 |   3844.3   1901.0   5481  28.6% 89.8%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.20    0 |   -317.3  -4522.7   5441  43.3% 90.1%  0.8%    3/3    2/3   0.475 | 3/2 p=0.47
     0.0     0.20    2 |  -1236.7  -5765.5   3741  66.2% 90.1%  0.8%    3/3    2/3   0.520 | 3/2 p=0.52
     0.0     0.20    3 | -10741.0 -36637.7   5119  56.8% 89.8%  0.8%    3/3    2/3   0.510 | 3/2 p=0.51
     0.0     0.20    5 | -13590.1 -39249.8   5375  46.6% 90.0%  0.7%    3/3    1/3   0.745 | 3/1 p=0.74
     0.0     0.30    0 |   1275.3    580.2   3875  59.8% 90.0%  0.7%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.30    2 | -12045.8 -37936.9   4577  74.5% 89.5%  0.8%    3/3    2/3   0.465 | 3/2 p=0.47
     0.0     0.30    3 | -13917.9 -37629.2   4703  68.3% 89.6%  0.8%    3/3    1/3   0.750 | 3/1 p=0.75
     0.0     0.30    5 |   -825.8  -5518.3   3845  62.0% 90.1%  0.8%    3/3    2/3   0.515 | 3/2 p=0.52
     0.4     0.00    0 |    880.0    536.7   4177  44.8% 90.2%  0.6%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.00    2 |  -8241.3 -32455.8   4957  68.5% 90.0%  0.8%    3/3    1/3   0.630 | 3/1 p=0.63
     0.4     0.00    3 | -10605.2 -36588.6   4993  59.1% 89.5%  0.9%    3/3    2/3   0.465 | 3/2 p=0.47
     0.4     0.00    5 |   1221.9    718.0   4005  48.2% 89.7%  0.7%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.10    0 |   1362.3    823.2   3895  52.4% 89.5%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.10    2 |   -453.3  -4639.9   3365  71.4% 89.0%  1.0%    3/3    2/3   0.445 | 3/2 p=0.45
     0.4     0.10    3 |   1637.6   1026.8   3571  63.9% 89.1%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.10    5 |   -704.4  -5212.9   3799  55.6% 89.4%  0.9%    3/3    2/3   0.475 | 3/2 p=0.47
     0.4     0.20    0 |   -760.3  -3919.9   3789  59.8% 89.5%  0.7%    3/3    2/3   0.510 | 3/2 p=0.51
     0.4     0.20    2 |  -1032.1  -5487.5   3211  75.3% 88.7%  0.9%    3/3    2/3   0.460 | 3/2 p=0.46
     0.4     0.20    3 |   1254.3    785.8   3493  69.3% 89.2%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.20    5 |   -878.6  -5125.8   3829  62.5% 89.9%  0.7%    3/3    2/3   0.545 | 3/2 p=0.55
     0.4     0.30    0 |   -693.1  -4962.3   3513  68.3% 89.7%  0.8%    3/3    2/3   0.530 | 3/2 p=0.53
     0.4     0.30    2 |   1203.8    778.1   4233  79.6% 89.2%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.30    3 | -11761.1 -37627.7   4405  75.4% 89.6%  0.9%    3/3    2/3   0.505 | 3/2 p=0.51
     0.4     0.30    5 |   -742.5  -5128.9   3477  70.2% 89.6%  0.8%    3/3    1/3   0.495 | 3/1 p=0.49
     0.5     0.00    0 |   5522.6   1036.5   5535  38.7% 90.1%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.00    2 |  -8252.4 -33815.9   4959  64.8% 89.8%  1.0%    3/3    1/3   0.595 | 3/1 p=0.59
     0.5     0.00    3 |  -9261.3 -38498.2   5125  53.6% 89.6%  0.9%    3/3    1/3   0.625 | 3/1 p=0.62
     0.5     0.00    5 |   5443.6    916.1   5439  42.8% 89.7%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.10    0 |   5524.4    926.3   5421  46.8% 90.0%  0.7%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.10    2 |   -460.2  -3421.0   3489  68.4% 89.3%  1.0%    3/3    2/3   0.530 | 3/2 p=0.53
     0.5     0.10    3 |  -6211.1 -32180.8   4917  60.0% 89.5%  1.1%    3/3    2/3   0.470 | 3/2 p=0.47
     0.5     0.10    5 |   3582.0  -3162.1   5299  50.4% 89.8%  0.8%    3/3    2/3   0.195 | 3/2 p=0.20
     0.5     0.20    0 |   1396.8    692.2   3891  54.8% 89.6%  0.7%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.20    2 |  -1004.3  -5484.1   3449  72.7% 89.4%  1.0%    3/3    2/3   0.580 | 3/2 p=0.58
     0.5     0.20    3 |   1250.4    816.0   3655  65.7% 89.7%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.20    5 |   -788.9  -4853.0   3903  57.8% 89.8%  0.7%    3/3    2/3   0.470 | 3/2 p=0.47
     0.5     0.30    0 |   -779.5  -4891.0   3641  65.0% 89.8%  0.7%    3/3    2/3   0.465 | 3/2 p=0.47
     0.5     0.30    2 | -10745.4 -36342.2   4355  77.3% 89.3%  0.9%    3/3    2/3   0.435 | 3/2 p=0.43
     0.5     0.30    3 | -11763.6 -37677.1   4581  72.5% 89.8%  1.0%    3/3    2/3   0.520 | 3/2 p=0.52
     0.5     0.30    5 |   -787.0  -5374.7   3623  67.0% 89.9%  0.7%    3/3    2/3   0.500 | 3/2 p=0.50
     0.6     0.00    0 |    869.6    606.4   4051  32.0% 89.5%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.00    2 |  -8897.2 -36275.5   4977  60.9% 89.4%  1.0%    3/3    1/3   0.650 | 3/1 p=0.65
     0.6     0.00    3 |  -9212.0 -37292.9   5163  47.8% 89.3%  0.9%    3/3    1/3   0.640 | 3/1 p=0.64
     0.6     0.00    5 |  -1308.7  -5751.5   3939  35.4% 89.2%  0.9%    3/3    2/3   0.485 | 3/2 p=0.48
     0.6     0.10    0 |    928.8    587.4   4095  40.7% 89.8%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.10    2 |   -793.4  -5350.5   3581  64.6% 89.3%  1.1%    3/3    2/3   0.520 | 3/2 p=0.52
     0.6     0.10    3 |  -8714.5 -34764.0   5045  54.9% 89.5%  1.0%    3/3    1/3   0.595 | 3/1 p=0.59
     0.6     0.10    5 |   1251.0    745.9   4009  43.6% 89.6%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.20    0 |   1330.5    560.8   3883  49.3% 89.2%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.20    2 |  -1424.0  -5795.5   3485  69.8% 89.5%  0.9%    3/3    2/3   0.460 | 3/2 p=0.46
     0.6     0.20    3 |   1156.2    722.7   3661  62.0% 89.4%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.20    5 |   -786.5  -5252.5   3807  52.2% 89.2%  0.9%    3/3    2/3   0.465 | 3/2 p=0.47
     0.6     0.30    0 |   -916.3  -5813.6   3745  61.5% 89.9%  0.7%    3/3    2/3   0.445 | 3/2 p=0.45
     0.6     0.30    2 | -11091.6 -35912.6   4471  75.8% 89.5%  0.8%    3/3    2/3   0.490 | 3/2 p=0.49
     0.6     0.30    3 | -11783.6 -37466.8   4627  69.7% 89.6%  0.8%    3/3    2/3   0.510 | 3/2 p=0.51
     0.6     0.30    5 |   -929.0  -5444.0   3753  63.6% 90.0%  0.7%    3/3    2/3   0.480 | 3/2 p=0.48
     0.7     0.00    0 |   2244.8   1247.2   5531  24.3% 89.8%  1.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.00    2 |  -6322.3 -33443.3   5285  56.5% 89.8%  0.8%    2/3    2/3   0.500 | 2/2 p=0.50
     0.7     0.00    3 |  -6506.2 -32101.0   5347  41.0% 89.5%  0.9%    2/3    2/3   0.520 | 2/2 p=0.52
     0.7     0.00    5 |   2171.0   1116.1   5409  28.2% 89.5%  0.9%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.10    0 |   1895.7    928.7   5635  34.9% 90.3%  0.9%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.10    2 |   1187.2    757.6   3725  61.4% 89.5%  0.8%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.10    3 |  -5933.4 -32743.5   5235  49.9% 89.9%  0.9%    3/3    2/3   0.475 | 3/2 p=0.47
     0.7     0.10    5 | -11120.1 -37598.5   5501  38.2% 90.0%  1.0%    3/3    2/3   0.530 | 3/2 p=0.53
     0.7     0.20    0 |   -851.4  -4656.5   4017  45.5% 89.6%  0.8%    3/3    2/3   0.570 | 3/2 p=0.57
     0.7     0.20    2 |  -1451.0  -5711.2   3595  67.3% 89.5%  0.8%    3/3    2/3   0.475 | 3/2 p=0.47
     0.7     0.20    3 |  -7413.0 -33265.7   5091  58.6% 89.9%  0.9%    3/3    2/3   0.500 | 3/2 p=0.50
     0.7     0.20    5 |  -1059.7  -5312.3   4011  48.3% 89.6%  0.8%    3/3    2/3   0.480 | 3/2 p=0.48
     0.7     0.30    0 |   1275.3    589.9   3875  59.8% 90.0%  0.7%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.30    2 | -12045.8 -38015.4   4577  74.5% 89.5%  0.8%    3/3    2/3   0.420 | 3/2 p=0.42
     0.7     0.30    3 | -13917.9 -39754.0   4703  68.3% 89.6%  0.8%    3/3    1/3   0.775 | 3/1 p=0.78
     0.7     0.30    5 |   -825.8  -5507.1   3845  62.0% 90.1%  0.8%    3/3    2/3   0.520 | 3/2 p=0.52

======================================================================
PAIR: GBP_USD  ZW=30.0p TGT=21.0p ta=6.0 td=1.0  OOS=409d
body_thr wick_thr  mom |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
--------------------------------------------------------------------------------
     0.0     0.00    0 |   4616.9   2205.3   3946   0.0% 83.9%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.00    2 |   5798.1   2199.6   3661  45.9% 83.4%  2.1%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.00    3 |   5370.3   2157.7   3893  29.7% 84.4%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.00    5 |   4919.6   2339.5   3868   8.0% 83.6%  2.3%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.10    0 |   6291.8   1643.6   3804  27.8% 83.5%  1.9%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.10    2 |   5932.4   1687.7   3381  60.2% 82.4%  2.1%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.10    3 |   2902.9   1058.1   3582  48.9% 83.2%  2.1%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.10    5 |   6217.2   1465.6   3790  33.5% 83.9%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.20    0 |   5814.8   1065.8   3743  45.9% 84.5%  1.9%    1/3    3/3   0.000 | 1/3 p=0.00
     0.0     0.20    2 |   8742.7   2473.2   3245  68.9% 82.7%  2.4%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.20    3 |   5679.0   1027.9   3523  61.7% 84.2%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.20    5 |   5743.0   1056.3   3633  50.2% 84.0%  1.7%    2/3    3/3   0.000 | 2/3 p=0.00
     0.0     0.30    0 |   1124.0    633.6   3601  61.3% 84.4%  1.7%    0/3    3/3   0.000 | 0/3 p=0.00
     0.0     0.30    2 |   5046.4    624.6   3141  76.4% 82.6%  2.0%    1/3    3/3   0.000 | 1/3 p=0.00
     0.0     0.30    3 |   1022.5    723.7   3525  70.9% 84.7%  1.5%    1/3    3/3   0.000 | 1/3 p=0.00
     0.0     0.30    5 |   1101.9    822.9   3495  64.2% 83.9%  1.7%    0/3    3/3   0.000 | 0/3 p=0.00
     0.4     0.00    0 |   6647.9   1400.2   3642  46.1% 83.5%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.00    2 |   6338.1   3029.9   3377  69.8% 83.4%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.00    3 |   3455.5   1334.0   3433  63.0% 82.9%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.00    5 |   6647.2   1398.6   3590  51.3% 83.5%  1.9%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.10    0 |   7748.0   1933.9   3608  54.6% 83.3%  2.3%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.10    2 |   8843.0   2318.8   3295  74.2% 83.6%  1.9%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.10    3 |   8143.5   2125.1   3328  67.6% 83.1%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.10    5 |   7532.0   1485.8   3478  58.5% 83.0%  2.3%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.20    0 |   6797.7   1104.8   3425  61.9% 83.2%  2.5%    1/3    3/3   0.000 | 1/3 p=0.00
     0.4     0.20    2 |   8008.7   1428.0   3122  77.4% 83.1%  2.1%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.20    3 |   7235.9   1487.8   3222  71.8% 83.3%  2.4%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.20    5 |   6614.0    982.8   3423  64.7% 83.4%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.30    0 |   5651.3   1084.3   3293  69.3% 83.7%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.30    2 |   6370.4    886.0   3004  80.9% 83.0%  1.9%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.30    3 |   6632.7   1164.4   3198  76.6% 83.6%  1.9%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.30    5 |   5343.4    924.7   3323  71.5% 83.9%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.00    0 |   7318.7   1739.1   3737  41.1% 83.8%  2.0%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.00    2 |   3521.9   1262.7   3347  66.9% 82.7%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.00    3 |   2796.7   1148.6   3497  59.4% 83.3%  2.0%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.00    5 |   6405.5   1236.0   3639  46.3% 83.7%  2.0%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.10    0 |   7083.9   1123.9   3698  50.2% 83.7%  2.2%    0/3    3/3   0.000 | 0/3 p=0.00
     0.5     0.10    2 |   8037.3   1843.8   3225  71.0% 82.3%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.10    3 |   3219.2   1294.3   3469  64.7% 83.8%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.10    5 |   5741.3    977.3   3562  54.4% 83.3%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.20    0 |   2673.3    951.8   3503  57.5% 83.3%  2.3%    0/3    3/3   0.000 | 0/3 p=0.00
     0.5     0.20    2 |   8171.3   1581.5   3159  74.6% 82.6%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.20    3 |   2985.7   1048.5   3369  68.9% 83.6%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.20    5 |   1279.5    803.2   3509  61.1% 83.8%  2.1%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.30    0 |   1520.1   1004.8   3433  65.9% 83.7%  1.9%    0/3    3/3   0.000 | 0/3 p=0.00
     0.5     0.30    2 |   6381.9    887.7   3055  78.9% 82.5%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.30    3 |   1342.5    766.8   3295  74.2% 83.7%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.5     0.30    5 |   1537.7    988.7   3387  68.9% 83.7%  1.9%    1/3    3/3   0.000 | 1/3 p=0.00
     0.6     0.00    0 |  -1175.0 -22619.6   3835  34.7% 84.1%  2.1%    1/3    2/3   0.520 | 1/2 p=0.52
     0.6     0.00    2 |   4661.6   1561.1   3444  64.1% 83.3%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
