ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
1195,b15_r1_n5_E2_X3c_1_3,548.3,106,0.013,0.41,1,515.0,33,1.21,1
1196,b15_r1_n5_E2_X3c_1_5,597.9,107,0.008,0.48,1,515.0,33,1.21,1
110,b5_r1_n5_E2_X3b_2,1430.2,722,0.0,2.08,1,477.8,271,1.12,1
1151,b15_r1_n4_E1_X3c_1_5,1030.4,505,0.032,0.47,1,465.4,162,1.09,1
1150,b15_r1_n4_E1_X3c_1_3,979.1,503,0.031,0.34,1,465.4,162,1.09,1
1144,b15_r1_n4_E1_X3b_1,979.1,503,0.031,0.34,1,457.1,162,1.07,1
117,b5_r1_n5_E2_X3c_2_3,1533.9,727,0.0,2.38,1,450.7,273,1.06,1
147,b5_r1_n6_E2_X3c_2_3,1295.4,381,0.0,2.12,1,425.1,145,1.0,1
118,b5_r1_n5_E2_X3c_2_5,1521.4,731,0.0,2.35,1,427.0,273,1.0,1
148,b5_r1_n6_E2_X3c_2_5,1285.5,382,0.0,2.03,1,400.2,145,0.94,1
163,b5_r1_n8_E1_X3c_2_5,1041.9,174,0.0,1.63,1,392.6,68,0.92,1
177,b5_r1_n8_E2_X3c_2_3,1091.4,132,0.0,1.82,1,388.5,46,0.91,1
140,b5_r1_n6_E2_X3b_2,1228.9,381,0.0,1.95,1,388.3,145,0.91,1
162,b5_r1_n8_E1_X3c_2_3,1034.3,174,0.0,1.63,1,386.4,68,0.91,1
155,b5_r1_n8_E1_X3b_2,1004.4,172,0.0,1.59,1,389.7,68,0.91,1
178,b5_r1_n8_E2_X3c_2_5,1080.1,132,0.0,1.81,1,379.0,46,0.89,1
170,b5_r1_n8_E2_X3b_2,1080.1,132,0.0,1.81,1,376.0,46,0.88,1
1197,b15_r1_n5_E2_X3c_2_3,659.9,96,0.031,0.21,1,357.8,29,0.84,1
1190,b15_r1_n5_E2_X3b_2,721.3,96,0.023,0.23,1,347.9,29,0.82,1
179,b5_r1_n8_E2_X3c_3_5,744.7,130,0.0,1.06,1,342.0,44,0.8,1
1159,b15_r1_n4_E2_X3b_1,1022.1,241,0.002,1.0,1,335.3,82,0.79,1
1165,b15_r1_n4_E2_X3c_1_3,1022.1,241,0.002,1.0,1,335.3,82,0.79,1
1166,b15_r1_n4_E2_X3c_1_5,1073.4,243,0.001,1.09,1,335.3,82,0.79,1
1198,b15_r1_n5_E2_X3c_2_5,759.1,97,0.019,0.35,1,324.4,29,0.76,1
156,b5_r1_n8_E1_X3b_3,780.6,170,0.0,0.92,1,319.5,66,0.75,1
171,b5_r1_n8_E2_X3b_3,866.4,130,0.0,1.22,1,313.3,44,0.73,1
1135,b15_r1_n3_E2_X3c_1_3,1101.0,494,0.011,0.67,1,285.3,165,0.67,1
1136,b15_r1_n3_E2_X3c_1_5,1152.3,496,0.011,0.81,1,285.3,165,0.67,1
1129,b15_r1_n3_E2_X3b_1,1101.0,494,0.011,0.67,1,285.3,165,0.67,1
1697,b20_r1_n4_E2_X1_8,2449.6,82,0.018,1.8,1,53.5,20,0.13,1
2476,b30_r2_n6_E2_X1_5,1513.4,36,0.027,0.74,1,46.5,10,0.11,1
1669,b20_r1_n3_E2_X3b_1,1022.9,263,0.014,0.55,1,12.4,100,0.03,1
1676,b20_r1_n3_E2_X3c_1_5,1064.2,265,0.017,0.58,1,12.4,100,0.03,1
1675,b20_r1_n3_E2_X3c_1_3,1022.9,263,0.014,0.55,1,12.4,100,0.03,1
2527,b30_r3_n2_E1_X7_3,2077.8,37,0.025,1.31,1,-18.8,13,-0.04,0
2557,b30_r3_n3_E1_X7_3,2077.8,37,0.025,1.31,1,-18.8,13,-0.04,0
1748,b20_r1_n6_E1_X7_5,1030.3,61,0.042,0.45,1,-131.4,12,-0.31,0
1167,b15_r1_n4_E2_X3c_2_3,908.1,215,0.042,0.19,1,-177.8,75,-0.42,0
1138,b15_r1_n3_E2_X3c_2_5,1267.5,393,0.037,0.14,1,-187.0,135,-0.44,0
1160,b15_r1_n4_E2_X3b_2,1158.8,211,0.015,0.55,1,-230.8,75,-0.54,0
1168,b15_r1_n4_E2_X3c_2_5,1185.6,214,0.019,0.72,1,-234.2,75,-0.55,0
1130,b15_r1_n3_E2_X3b_2,1266.8,384,0.038,0.17,1,-292.2,132,-0.69,0
2251,b30_r1_n5_E1_X1_5,1660.6,58,0.041,0.51,1,-410.6,15,-0.96,0
597,b10_r1_n3_E2_X3c_2_3,1308.1,842,0.026,0.39,1,-500.4,299,-1.17,0
627,b10_r1_n4_E2_X3c_2_3,987.9,455,0.02,0.42,1,-563.6,162,-1.32,0
598,b10_r1_n3_E2_X3c_2_5,1257.9,838,0.034,0.35,1,-571.7,301,-1.34,0
2656,b30_r3_n6_E2_X1_5,1830.2,43,0.02,1.48,1,-706.9,13,-1.66,0
